corp_code,corp_name,rcept_no,year,fs_type,status,extract_method,n_tables,input_tokens,output_tokens,DBO,PlanAsset,NetDBO,ServiceCost,InterestCost,InterestIncome,NetInterest,BenefitPayment,ActuarialGL,ActuarialGL_Financial,ActuarialGL_Demographic,ActuarialGL_Experience,RetirementBenefitCost,ExpectedContribution,DCPlanCost,SensitivityDR_1pct,SensitivitySG_1pct,DiscountRate_Min,DiscountRate_Max,DiscountRate_Mid,SalaryGrowth_Min,SalaryGrowth_Max,SalaryGrowth_Mid,Duration_Min,Duration_Max,Duration_Mid,SensitivityDR_1pct_down,SensitivitySG_1pct_down,DR_shock_raw,SG_shock_raw
00100601,강원에너지,20170330001309,2016,OK|연결,OK,HEADING,1,2367,359,7708228.0,4004500.0,3703728.0,,,,,50991596.0,,,,,,,,,,,,,,,,,,,,,,
00100656,강원일보,20170330002013,2016,OK|연결,부분(0/7),24,11065,712,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100814,포스코이앤씨,20170331004009,2016,OK|연결,OK,4,2758,379,OK,225482000000.0,177857000000.0,47625000000.0,45983000000.0,4958000000.0,3402000000.0,1556000000.0,,,,,,47539000000.0,,,,,,,,,,,,,,,,,
00100939,강남제비스코,20181231000132,2016,OK|연결,OK,9,11500,411,OK,22872000000.0,23547000000.0,-675000000.0,3136000000.0,626000000.0,600000000.0,26000000.0,1506000000.0,1914000000.0,-108000000.0,695000000.0,1327000000.0,,,,-1816036800.0,2111085599.0,,,3.52,,,4.93,,,,2108798400.0,-1850344800.0,1.0,1.0
00101044,에이프로젠바이오로직스,20170330000533,2016,OK|연결,OK,15,18288,418,OK,5373620000.0,2418761000.0,2954859000.0,935288000.0,85322000.0,62748000.0,22574000.0,1052055000.0,579751000.0,51092000.0,0.0,528659000.0,957862000.0,,,-292170000.0,318717000.0,2.33,2.36,2.345,5.0,5.4,5.2,,,,331161000.0,-287531000.0,1.0,1.0
00101220,KG케미칼,20200217000717,2016,OK|연결,OK,10,6572,426,OK,22425287000.0,19541586000.0,2883701000.0,4300860000.0,546526000.0,407039000.0,139487000.0,3127592000.0,-381508000.0,,,,4440347000.0,,,-1146249000.0,1290479000.0,2.39,3.3,2.845,2.0,6.14,4.07,6.72,10.55,8.635,1298746000.0,-1160532000.0,1.0,1.0
00101257,경남기업,20170331000393,2016,OK|연결,OK,8,5577,392,OK,15639752000.0,3988510000.0,11651242000.0,2547048000.0,345393000.0,24791000.0,320602000.0,3403611000.0,126822000.0,364674000.0,83137000.0,-320989000.0,2867650000.0,,,,,,,,,,,,,,,,,
00101433,경농,20170331004155,2016,OK|연결,부분(0/7),2,3468,498,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00101488,경동나비엔,20170330000274,2016,OK|연결,OK,18,6471,416,OK,30442082000.0,29555360000.0,886722000.0,4148963000.0,980797000.0,933248000.0,47549000.0,3110095000.0,2065928000.0,438326000.0,0.0,1470559000.0,4196512000.0,,42584000.0,-2303309000.0,2684733000.0,,,3.98,,,3.97,,,,2667124000.0,-2358966000.0,1.0,1.0
00101549,경동제약,20170329000405,2016,OK|연결,OK,9,6057,413,OK,15552617000.0,14393959000.0,1158658000.0,2529493000.0,435185000.0,398103000.0,37082000.0,952310000.0,373747000.0,254773000.0,118974000.0,,2566575000.0,,,-1513422000.0,1801929000.0,,,3.27,,,2.0,,,12.0,1796202000.0,-1545035000.0,1.0,1.0
00101628,경방,20170331001034,2016,OK|연결,OK,14,5738,387,OK,867827000.0,643307000.0,224520000.0,319659000.0,12777000.0,11299000.0,1478000.0,349431000.0,26373000.0,,,,321137000.0,,1440223000.0,,,,,2.08,,,1.0,,,,,,,
00101664,경보제약,20170331001705,2016,OK|연결,OK,11,15705,413,OK,13882446000.0,12547917000.0,1334529000.0,2412955000.0,299428000.0,225158000.0,74270000.0,674647000.0,1147794000.0,1458990000.0,,311196000.0,2711190000.0,,,-933201000.0,1042249000.0,,,2.57,,,5.3,,,8.153,1062874000.0,-934056000.0,,
00101752,케이씨피드,20170330001778,2016,OK|연결,OK,15,6369,388,OK,3452627000.0,3005568000.0,447059000.0,499548000.0,,,25451000.0,,564674000.0,,,,474097000.0,,,-169070000.0,193472000.0,,,2.74,,,5.34,,,,193472000.0,-172550000.0,1.0,1.0
00102113,경인양행,20170330000245,2016,OK|연결,OK,10,7054,405,OK,8562129000.0,6979756000.0,1582373000.0,617263000.0,303220000.0,239871000.0,63349000.0,294903000.0,250134000.0,-27108000.0,0.0,277242000.0,680612000.0,,,-682504000.0,794645000.0,,,3.97,,,4.55,,,,789814000.0,-698576000.0,1.0,1.0
00102140,경인전자,20170330000291,2016,OK|연결,OK,19,7736,397,OK,2032745000.0,2886203000.0,-853458000.0,106228000.0,4978000.0,85316000.0,-80338000.0,6905000.0,-8340000.0,,,,35653000.0,,,-15065000.0,16647000.0,,,2.91,,,5.0,,,,17155000.0,-14935000.0,1.0,1.0
00102353,경창산업,20170331000382,2016,OK|연결,OK,9,17601,392,OK,60470020000.0,7963795000.0,52506225000.0,8375535000.0,1414120000.0,179487000.0,1234633000.0,4413300000.0,1732904000.0,,,,9610168000.0,,,,,,,2.86,,,4.36,,,,,,,
00102399,경향신문사,20170331003322,2016,OK|별도,부분(0/7),3,3563,350,부분(1/7),,,,,,,,876152726.0,,,,,,,,,,,,,,,,,,,,,,
00102432,계룡건설산업,20170515004742,2016,OK|연결,OK,24,33818,425,OK,76916880000.0,31932004000.0,44984876000.0,8509295000.0,1635735000.0,738908000.0,896827000.0,4537682000.0,2653072000.0,-206585000.0,-172405000.0,3032062000.0,,,,-4593117000.0,5140760000.0,2.6,2.62,2.61,1.0,3.96,2.48,,,,5188637000.0,-4639986000.0,1.0,1.0
00102618,계양전기,20170331000782,2016,OK|연결,부분(3/7),7,3400,368,부분(7/7),,,,134343000.0,21007000.0,,21007000.0,59322000.0,363454000.0,,,,518804000.0,,,,,,,2.35,,,,,,,,,,
00102751,고려산업,20170330000091,2016,OK|연결,OK,5,5634,386,OK,4758503000.0,5110151000.0,-351648000.0,647100000.0,87173000.0,72067000.0,15106000.0,340877000.0,487377000.0,464928000.0,0.0,22449000.0,662206000.0,,,,,,,,,,,,,,,,,
00102760,두산건설,20170331003722,2016,OK|연결,OK,19,7299,418,OK,64025644000.0,38167032000.0,25858612000.0,7031491000.0,2075881000.0,885693000.0,1190188000.0,5413788000.0,146920000.0,3302141000.0,532000.0,-3155753000.0,9573731000.0,13607000000.0,,-2907988000.0,3272189000.0,,,2.6,,,,,,,3370949000.0,-2880728000.0,1.0,1.0
00102858,고려아연,20170331002299,2016,OK|연결,OK,7,5836,437,OK,119811576000.0,121996334000.0,-2184758000.0,11996371000.0,2827868000.0,2512916000.0,314952000.0,1176619000.0,8854185000.0,-194250000.0,1331330000.0,7717105000.0,12311323000.0,,667658000.0,-11028810000.0,12580799000.0,2.5,2.9,2.7,5.0,5.27,5.135,,,10.04,13026590000.0,-10899779000.0,1.0,1.0
00103006,고려제강,20180312000319,2016,OK|연결,OK,14,6044,431,OK,55890000000.0,54357000000.0,1533000000.0,7421000000.0,1227000000.0,1019000000.0,208000000.0,3471000000.0,1155000000.0,1661000000.0,-1255000000.0,749000000.0,,7597000000.0,,-3574400000.0,4189500000.0,2.4,2.9,2.65,3.0,5.6,4.3,,,,3998400000.0,-3568800000.0,1.0,1.0
00103015,고려제약,20170331001569,2016,OK|연결,OK,8,7740,406,OK,7716559000.0,7856992000.0,-140433000.0,866934000.0,204481000.0,172338000.0,32143000.0,1260491000.0,345787000.0,159827000.0,0.0,252807000.0,1766077000.0,,,-432833000.0,429369000.0,,,2.58,,,2.44,,,,456335000.0,-404471000.0,1.0,1.0
00103042,케이씨티시,20170331001230,2016,OK|연결,OK,9,11900,424,OK,23382279000.0,22244186000.0,1138093000.0,2614294000.0,494328000.0,448080000.0,46248000.0,2683689000.0,832402000.0,-668627000.0,,1501029000.0,2660542000.0,2514000000.0,102000000.0,,,2.34,3.0,2.67,2.0,4.0,3.0,4.28,7.46,5.87,,,,
00103130,플레이그램,20180322000744,2016,OK|별도,부분(0/7),1,2059,518,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00103176,흥국화재,20170331001148,2016,OK|연결,OK,6,5190,386,OK,881000000.0,642000000.0,239000000.0,356000000.0,13000000.0,13000000.0,0.0,496000000.0,128000000.0,,,,5735000000.0,,5379000000.0,,,,,1.98,,,8.0,,,,,,,
00103510,인지컨트롤스,20170331000368,2016,OK|연결,OK,15,6422,413,OK,13197868000.0,8588374000.0,4609494000.0,2764467000.0,276891000.0,143560000.0,133331000.0,941399000.0,265332000.0,35917000.0,22509000.0,206906000.0,2897798000.0,,,-2161592000.0,2476976000.0,,,2.68,,,4.25,,,,2508144000.0,-2177056000.0,0.5,0.5
00103547,우진비앤지,20211217000473,2016,OK|별도,OK,6,4532,398,OK,2777473145.0,1279809046.0,1497664099.0,326734715.0,73630934.0,41352887.0,32278047.0,81746240.0,104546529.0,,,,246851268.0,,,-140770656.0,164727718.0,,,2.96,,,4.68,,,,164608302.0,-143425989.0,1.0,1.0
00103592,광동제약,20170330001230,2016,OK|연결,OK,7,6122,420,OK,12778413000.0,12809023000.0,-30610000.0,2053661000.0,304073000.0,297215000.0,6858000.0,1374612000.0,-157866000.0,-135416000.0,-137230000.0,114780000.0,2060519000.0,,3805272000.0,-1053718000.0,1200913000.0,,,2.67,,,3.4,,,8.84,1218266000.0,-1059648000.0,1.0,1.0
00103626,한솔피엔에스,20170331001664,2016,OK|별도,OK,9,6196,418,OK,9965986000.0,8054351000.0,1911635000.0,1167714000.0,213658000.0,139958000.0,73700000.0,367491000.0,687280000.0,596110000.0,,91170000.0,1241414000.0,,,-549087000.0,602489000.0,2.15,2.36,2.255,3.5,4.95,4.225,,,,613793000.0,-549873000.0,1.0,1.0
00103635,광림,20170529000412,2016,OK|연결,OK,17,6242,398,OK,6026881539.0,1387052273.0,4639829266.0,856077732.0,111707988.0,21757704.0,89950284.0,327111530.0,-44196856.0,,,,946028016.0,,,-311540757.0,346671763.0,,,2.43,,,3.61,,,,348156184.0,-316093366.0,1.0,1.0
00103644,비츠로테크,20160928000270,2016,OK|연결,OK,13,5577,386,OK,7656804000.0,,,1446345000.0,153459000.0,,,532974000.0,234356000.0,,,,1599804000.0,,,-401873000.0,439153000.0,,,1.92,,,4.21,,,,451684000.0,-398566000.0,1.0,1.0
00104069,케이디비생명보험,20170331003929,2016,OK|연결,OK,1,2592,371,OK,33552000000.0,,,6839000000.0,778000000.0,,,3223000000.0,595000000.0,204000000.0,,391000000.0,,,,,,,,,,,,,,,,,,
00104102,우리종합금융,20170331004446,2016,OK|연결,OK,12,5954,404,OK,1713848000.0,1844302000.0,-130454000.0,332849000.0,33040000.0,39996000.0,-6956000.0,63434000.0,59163000.0,64270000.0,0.0,-5107000.0,87999000.0,393818000.0,,-113621000.0,131912000.0,,,2.59,,,1.88,,,,129660000.0,,1.0,1.0
00104120,광진실업,20170330000641,2016,OK|연결,OK,6,4629,396,OK,2321895000.0,2283752000.0,37250000.0,402084000.0,46257000.0,45776000.0,481000.0,349991000.0,181873000.0,,,,402565000.0,,,-164567000.0,185856000.0,,,2.36,,,4.98,,,,188800000.0,-165280000.0,1.0,1.0
00104388,국도화학,20170329000302,2016,OK|연결,부분(0/7),2,2518,502,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00104537,국영지앤엠,20170331001292,2016,OK|별도,부분(0/7),1,1802,445,부분(0/7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00104573,국일제지,20170331005300,2016,OK|연결,OK,10,12375,400,OK,5177271000.0,3224354000.0,1952917000.0,737678000.0,116111000.0,58501000.0,57610000.0,814507000.0,-182919000.0,,,,795288000.0,,,-1127779000.0,544944000.0,,,2.595,,,3.62,,,,488258000.0,-1070778000.0,1.0,1.0
