corp_code,corp_name,rcept_no,year,fs_type,status,extract_method,n_tables,input_tokens,output_tokens,DBO,PlanAsset,NetDBO,ServiceCost,InterestCost,InterestIncome,NetInterest,BenefitPayment,ActuarialGL,ActuarialGL_Financial,ActuarialGL_Demographic,ActuarialGL_Experience,RetirementBenefitCost,ExpectedContribution,DCPlanCost,SensitivityDR_1pct,SensitivitySG_1pct,DiscountRate_Min,DiscountRate_Max,DiscountRate_Mid,SalaryGrowth_Min,SalaryGrowth_Max,SalaryGrowth_Mid,Duration_Min,Duration_Max,Duration_Mid
00100656,강원일보,20230331001925,2022,별도,부분(1/7),HEADING,2,2147,314,,,,,,,,639904000.0,,,,,,,,,,,,,,,,,,
00100814,포스코이앤씨,20230310001013,2022,연결,부분(2/7),HEADING,5,2802,327,435090457000.0,521481556000.0,-86391099000.0,,,,,,,,,,,,4822732000.0,,,,,,,,,,,
00100939,강남제비스코,20230320000691,2022,연결,OK,HEADING,7,5502,397,48995000000.0,69935000000.0,-20940000000.0,6286000000.0,2100000000.0,2366000000.0,-266000000.0,4290000000.0,-10004000000.0,-9988000000.0,1709000000.0,-967000000.0,8120000000.0,7215000000.0,608000000.0,-7680000000.0,9120000000.0,5.83,6.29,6.06,3.42,6.42,4.92,,,8.29
00101044,에이프로젠바이오로직스,20230317000440,2022,연결,OK,HEADING,10,6512,389,11096013000.0,3531253000.0,7565760000.0,1234175000.0,151358000.0,95788000.0,55570000.0,1591298000.0,436816000.0,891139000.0,-18479000.0,-436102000.0,1289745000.0,,,-621157000.0,730743000.0,5.12,5.34,5.23,3.87,5.92,4.895,5.59,8.59,7.09
00101257,경남기업,20230331002296,2022,별도,OK,HEADING,24,8053,371,17532178000.0,17809622000.0,-277444000.0,1517770000.0,476923000.0,368706000.0,108217000.0,1652212000.0,261214000.0,-922940000.0,-68082000.0,1252237000.0,1625987000.0,,,-711176000.0,787671000.0,,,5.72,,,5.1,,,5.0
00101433,경농,20230322000774,2022,연결,부분(2/7),HEADING,3,2678,326,6008236000.0,68620000.0,5939616000.0,,,,,,,,,,,,1546187000.0,,,,,,,,,,,
00101488,경동나비엔,20230321001339,2022,연결,OK,HEADING,18,6454,390,59304219000.0,77294187000.0,-17989968000.0,9632486000.0,2393806000.0,2598274000.0,-204468000.0,6323382000.0,12663519000.0,10204119000.0,258705000.0,2200696000.0,9428018000.0,,970000000.0,-3193279000.0,3704892000.0,6.02,6.15,6.085,3.75,4.21,3.98,,,
00101549,경동제약,20230322000830,2022,연결,OK,HEADING,9,6550,376,19519047000.0,26363278000.0,-6844231000.0,2800950000.0,714586000.0,792901000.0,-78315000.0,2853256000.0,-4274857000.0,-4042711000.0,0.0,-232146000.0,3685151000.0,,460083000.0,-1326017500.0,1385318500.0,,,5.74,,,3.53,,,7.244
00101664,경보제약,20230313000946,2022,별도,OK,HEADING,16,6652,373,9015248000.0,9811722000.0,-796474000.0,1491293000.0,258692000.0,250844000.0,7848000.0,663320000.0,-1018170000.0,1345165000.0,0.0,-326995000.0,1350215000.0,,1677345000.0,-466584000.0,533854000.0,,,5.3,,,4.55,,,5.764
00102113,경인양행,20230316000324,2022,연결,OK,HEADING,11,6935,362,7189062000.0,9138598000.0,-1949536000.0,661759000.0,292426000.0,290520000.0,1906000.0,1962606000.0,1474759000.0,,,,663665000.0,,4194672000.0,-386395000.0,434843000.0,,,3.53,,,4.0,,,
00102140,경인전자,20230315000359,2022,연결,OK,HEADING,11,5402,341,3187560000.0,3238642000.0,-51082000.0,185292000.0,10418000.0,94097000.0,-83679000.0,0.0,36176000.0,,,,108914000.0,,,,,,,,,,,,,
00102353,경창산업,20230322000602,2022,연결,OK,HEADING,9,6137,376,57281198000.0,9930610000.0,47350588000.0,8263824000.0,1815377000.0,176931000.0,1638446000.0,5011454000.0,10768419000.0,,,,9902270000.0,,,-4436616000.0,5173390000.0,5.16,5.35,5.255,2.64,4.49,3.565,,,
00102399,경향신문사,20230331002466,2022,연결,부분(1/7),HEADING,1,2293,315,,,,,,,,4929292023.0,,,,,,,,,,,,,,,,,,
00102751,고려산업,20230316000629,2022,연결,부분(2/7),HEADING,1,2064,322,7446327000.0,8037449000.0,-591122000.0,,,,,,,,,,,,,,,,,,,,,,,
00102760,두산건설,20230331003606,2022,연결,OK,HEADING,20,6634,384,55862541000.0,48025102000.0,7837439000.0,5222178000.0,1164552000.0,985011000.0,179541000.0,9165628000.0,4673427000.0,6071907000.0,-1037000.0,-10744297000.0,5401719000.0,8159000000.0,191000000.0,-1697581000.0,1848121000.0,,,5.2,,,2.5,,,3.33
00102858,고려아연,20230309000731,2022,연결,OK,HEADING,7,6642,392,217092377000.0,277080140000.0,-59987763000.0,17333156000.0,5720270000.0,5776873000.0,-56603000.0,7553716000.0,-13873402000.0,-44878457000.0,7169394000.0,23835661000.0,36610807000.0,,2989713000.0,-15476641000.0,18392767000.0,5.29,6.05,5.67,4.63,5.0,4.815,,,
00103006,고려제강,20230316001326,2022,연결,OK,HEADING,14,5826,384,69608000000.0,82497000000.0,-12889000000.0,8059000000.0,1927000000.0,1830000000.0,97000000.0,7513000000.0,-7713000000.0,11799000000.0,1056000000.0,-5142000000.0,,,,-3893952000.0,4589872000.0,2.5,5.1,3.8,3.0,4.2,3.6,,,
