corp_code,corp_name,rcept_no,year,fs_type,status,extract_method,n_tables,input_tokens,output_tokens,DBO,PlanAsset,NetDBO,ServiceCost,InterestCost,InterestIncome,NetInterest,BenefitPayment,ActuarialGL,ActuarialGL_Financial,ActuarialGL_Demographic,ActuarialGL_Experience,RetirementBenefitCost,ExpectedContribution,DCPlanCost,SensitivityDR_1pct,SensitivitySG_1pct,DiscountRate_Min,DiscountRate_Max,DiscountRate_Mid,SalaryGrowth_Min,SalaryGrowth_Max,SalaryGrowth_Mid,Duration_Min,Duration_Max,Duration_Mid,SensitivityDR_1pct_down,SensitivitySG_1pct_down,DR_shock_raw,SG_shock_raw
00100656,강원일보,20220330001532,2021,별도,부분(0/7),HEADING,2,2149,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100814,포스코이앤씨,20220311001168,2021,연결,부분(2/7),HEADING,2,2117,323,481870105000.0,494271013000.0,-12400908000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100939,강남제비스코,20220321000879,2021,연결,OK,KEYWORD,11,15155,377,55903000000.0,61819000000.0,-5916000000.0,6205000000.0,1732000000.0,2264000000.0,-532000000.0,4720000000.0,-686000000.0,-317000000.0,,-369000000.0,,,,-4420637000.0,9110000000.0,3.37,4.01,3.69,3.39,6.42,4.905,,,,5126668000.0,-4481558000.0,1.0,1.0
00101044,에이프로젠바이오로직스,20220314001107,2021,연결,OK,HEADING,10,6460,389,9487019000.0,3885789000.0,5601230000.0,1349281000.0,126449000.0,68461000.0,57988000.0,763199000.0,1171645000.0,492751000.0,678894000.0,,1407269000.0,420000000.0,,-431654000.0,476700000.0,2.3,2.5,2.4,1.98,5.4,3.69,3.48,8.49,5.985,492198000.0,-427361000.0,1.0,1.0
00101257,경남기업,20220325001335,2021,연결,OK,KEYWORD,9,5880,363,16581775000.0,13075789000.0,3505986000.0,1887367000.0,406871000.0,206549000.0,200322000.0,2362583000.0,856644000.0,869860000.0,0.0,-13216000.0,2087689000.0,,,,,,,3.14,,,3.79,,,5.0,,,,
00101433,경농,20220322000678,2021,연결,OK,HEADING,5,3327,341,6446261000.0,81853000.0,6364408000.0,777721000.0,110697000.0,,110697000.0,982724000.0,175665000.0,,,,,,1452629000.0,,,,,,,,,,,,,,,
00101488,경동나비엔,20220321001363,2021,연결,OK,HEADING,18,6603,387,66116762000.0,71580419000.0,-5463657000.0,8876060000.0,1849167000.0,1814860000.0,34307000.0,5307955000.0,-560373000.0,2367473000.0,0.0,-1807100000.0,8910367000.0,,323000000.0,-4395316000.0,5063725000.0,3.65,3.82,3.735,3.53,4.17,3.85,,,,-1232149000.0,1502273000.0,1.0,1.0
00101549,경동제약,20220321001400,2021,연결,OK,KEYWORD,9,11153,375,22169109000.0,24366874000.0,-2197765000.0,2916636000.0,679260000.0,751048000.0,-71788000.0,2507038000.0,-1893196000.0,-1697993000.0,33300000.0,-228503000.0,2844848000.0,,224244000.0,,,,,3.39,,,3.8,,,,,,1.0,1.0
00101664,경보제약,20220316000564,2021,별도,OK,KEYWORD,12,15248,374,10034180000.0,9106755000.0,927425000.0,1615760000.0,210989000.0,184892000.0,26097000.0,411583000.0,-473703000.0,-557980000.0,-107779000.0,191056000.0,1435389000.0,,1471808000.0,-686820000.0,683628000.0,,,2.85,,,4.53,,,6.5932,604378000.0,-613056000.0,1.0,1.0
00102113,경인양행,20220330000263,2021,연결,OK,HEADING,14,8511,352,9726914000.0,8644747000.0,1082167000.0,642387000.0,245267000.0,246196000.0,-929000.0,,265493000.0,,,,641458000.0,,,-514762000.0,573801000.0,,,3.53,,,4.0,,,,580858000.0,-517657000.0,1.0,1.0
00102140,경인전자,20220317000142,2021,연결,OK,HEADING,17,6994,353,2955674000.0,2952146000.0,3528000.0,156364000.0,7989000.0,74579000.0,-66590000.0,0.0,58757000.0,,,,98335000.0,,,-29487000.0,32707000.0,,,3.2,,,5.0,,,,29487000.0,-28956000.0,1.0,1.0
