corp_code,corp_name,rcept_no,year,fs_type,status,extract_method,n_tables,input_tokens,output_tokens,DBO,PlanAsset,NetDBO,ServiceCost,InterestCost,InterestIncome,NetInterest,BenefitPayment,ActuarialGL,ActuarialGL_Financial,ActuarialGL_Demographic,ActuarialGL_Experience,RetirementBenefitCost,ExpectedContribution,DCPlanCost,SensitivityDR_1pct,SensitivitySG_1pct,DiscountRate_Min,DiscountRate_Max,DiscountRate_Mid,SalaryGrowth_Min,SalaryGrowth_Max,SalaryGrowth_Mid,Duration_Min,Duration_Max,Duration_Mid,SensitivityDR_1pct_down,SensitivitySG_1pct_down,DR_shock_raw,SG_shock_raw
00100601,강원에너지,20260320000921,2025,연결,부분(2/7),HEADING,2,2396,357,,5414000.0,,,,,,52594000.0,,,,,,,1005577000.0,,,,,,,,,,,,,,,
00100814,포스코이앤씨,20260318001089,2025,연결,부분(1/7),HEADING,2,2347,354,,,,50513059000.0,,,-510820000.0,,,,,,,,,,,,,,,,,,,,,,,
00100939,강남제비스코,20260318001400,2025,연결,OK,HEADING,8,6500,438,65142000000.0,76908000000.0,-11766000000.0,6276000000.0,3069000000.0,3385000000.0,-316000000.0,3780000000.0,-5293000000.0,-6790000000.0,1178000000.0,-1108000000.0,9345000000.0,,629000000.0,-4415000000.0,5210000000.0,4.64,5.22,4.93,3.0,6.65,4.825,,,7.98,5026000000.0,-4643000000.0,1.0,1.0
00101044,에이프로젠바이오로직스,20260320000881,2025,연결,OK,HEADING,12,7757,430,15673830376.0,5166554733.0,10506307843.0,2695163011.0,384775683.0,184018773.0,200756910.0,2930175246.0,-329135608.0,516507794.0,0.0,-187565414.0,2895919921.0,,,-871138277.0,995198460.0,3.63,4.4,4.015,3.55,5.95,4.75,7.58,9.87,8.725,1013431481.0,-872505023.0,1.0,1.0
00101220,KG케미칼,20260323001613,2025,연결,OK,HEADING,16,6924,430,575867796000.0,145816286000.0,430051510000.0,46401130000.0,18847311000.0,5965509000.0,12881802000.0,50216394000.0,22663922000.0,,,,59347705000.0,,,-33134966000.0,35937650000.0,3.7,5.38,4.54,2.6,5.0,3.8,4.72,9.66,7.19,36875367000.0,-32823936000.0,1.0,1.0
00101433,경농,20260318001176,2025,연결,부분(2/7),HEADING,2,2235,358,6299988000.0,46480000.0,6253508000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
00101488,경동나비엔,20260318001570,2025,연결,OK,HEADING,18,6536,433,86855222000.0,95935295000.0,-9080073000.0,11040788000.0,3460873000.0,3725582000.0,-264709000.0,8261109000.0,3448681000.0,-568338000.0,129926000.0,3887092000.0,10776079000.0,,408000000.0,-3911465000.0,3961808000.0,4.33,5.12,4.725,3.64,4.69,4.165,,,,4129313000.0,-4063313000.0,1.0,1.0
00101549,경동제약,20260320001252,2025,연결,OK,HEADING,9,6586,418,16080017000.0,18119495000.0,-2039478000.0,1646329000.0,542095000.0,71821000.0,470274000.0,1347910000.0,367172000.0,-299138000.0,0.0,666310000.0,2116603000.0,,170569000.0,,,,,4.36,,,3.42,,,4.977,,,1.0,1.0
00101628,경방,20260318000486,2025,연결,OK,HEADING,11,4929,391,707592000.0,755062000.0,-47470000.0,175545000.0,23685000.0,22919000.0,766000.0,245862000.0,60676000.0,,,,176311000.0,191983000.0,789811000.0,,,,,4.53,,,4.96,,,4.55,,,,
00101664,경보제약,20260318001475,2025,연결,OK,HEADING,15,7533,420,10783666000.0,10668837000.0,114829000.0,1791678000.0,424976000.0,378540000.0,46436000.0,1575399000.0,-1028264000.0,-1290760000.0,0.0,262496000.0,1839114000.0,,2457910000.0,-1046452000.0,1263645000.0,,,4.65,,,4.72,,,11.061,1247158000.0,-1077115000.0,1.0,1.0
